path,semantic_review,remediation_status,finding,commit,verification
backend/g1_teleop/live_receiver.py,full_text_review,implemented_integration_pending,R64,187b3e2a44466653bc099327e0ace7f18dc7fcb0,regression_tests_committed_not_executed
backend/g1_teleop/mink_command_stream.py,full_text_review,implemented_integration_pending,R64,187b3e2a44466653bc099327e0ace7f18dc7fcb0,regression_tests_committed_not_executed
backend/tests/test_live_receiver.py,full_text_review,regression_tests_added,R64,187b3e2a44466653bc099327e0ace7f18dc7fcb0,not_executed
backend/tests/test_mink_command_stream.py,full_text_review,regression_tests_added,R64,187b3e2a44466653bc099327e0ace7f18dc7fcb0,not_executed
hardware/g1_arm_bridge/arm_sdk_release_contract.py,full_text_review,new_shared_release_contract,R1_R34_R46,846b0d59991b6d84a47fca30255aef1343bdfa63,pure_helper_smoke_only_committed_tests_not_executed
hardware/g1_arm_bridge/test_arm_sdk_release_contract.py,full_text_review,regression_tests_added,R1_R34_R46,846b0d59991b6d84a47fca30255aef1343bdfa63,not_executed
hardware/g1_arm_bridge/gate7_live_arm_sdk.py,full_text_review,implemented_integration_pending,R1,cb5082e182b4f1f4404a3e57c1803cf3be9e9d5e,static_diff_review_committed_tests_not_executed
hardware/g1_arm_bridge/test_gate7_release_finalization.py,full_text_review,regression_tests_added,R1,cb5082e182b4f1f4404a3e57c1803cf3be9e9d5e,not_executed
hardware/g1_arm_bridge/gate6_arm_sdk_hold.py,full_text_review,implemented_integration_pending,R3_R34,678b5d0bb6bd7518fa0c9864998999b7b13c1b5c,static_diff_review_committed_tests_not_executed
hardware/g1_arm_bridge/test_gate6_fault_release.py,full_text_review,regression_tests_added,R3_R34,678b5d0bb6bd7518fa0c9864998999b7b13c1b5c,not_executed
hardware/g1_arm_bridge/g1_right_arm_jog_entry.py,full_text_review,supported_launcher_mitigation_direct_path_open,R46,7b44656364cf469bdc4f70ea4c1c0c8171a4ae81,regression_tests_committed_not_executed
hardware/g1_arm_bridge/start_right_arm_jog_wsl.sh,full_text_review,supported_launcher_uses_guarded_entry,R46,7b44656364cf469bdc4f70ea4c1c0c8171a4ae81,static_diff_review
hardware/g1_arm_bridge/test_g1_right_arm_jog_entry.py,full_text_review,regression_tests_added,R46,4251c5438387719c83b2a50c7eb63789e93e95a1,not_executed
hardware/g1_arm_bridge/g1_right_arm_jog.py,full_text_review,direct_physical_path_result_semantics_open,R46,,do_not_run_direct_physical_path
